Buying;Maintenance;Doors;Person;lug_boot;safety;class
vhigh;high;2doors;4people;big;med;unacc
vhigh;high;2doors;4people;big;high;unacc
vhigh;high;2doors;more;small;low;unacc
vhigh;high;2doors;more;small;med;unacc
vhigh;high;2doors;more;small;high;unacc
vhigh;high;2doors;more;med;low;unacc
vhigh;high;2doors;more;med;med;unacc
vhigh;high;2doors;more;med;high;unacc
vhigh;high;2doors;more;big;low;unacc
vhigh;high;2doors;more;big;med;unacc
vhigh;high;2doors;more;big;high;unacc
vhigh;high;3doors;2people;small;low;unacc
vhigh;high;3doors;2people;small;med;unacc
vhigh;high;3doors;2people;small;high;unacc
vhigh;high;3doors;2people;med;low;unacc
vhigh;high;3doors;2people;med;med;unacc
vhigh;high;3doors;2people;med;high;unacc
vhigh;high;3doors;2people;big;low;unacc
vhigh;high;3doors;2people;big;med;unacc
vhigh;high;3doors;2people;big;high;unacc
vhigh;high;3doors;4people;small;low;unacc
vhigh;high;3doors;4people;small;med;unacc
vhigh;high;3doors;4people;small;high;unacc
vhigh;high;3doors;4people;med;low;unacc
vhigh;high;3doors;4people;med;med;unacc
vhigh;high;3doors;4people;med;high;unacc
vhigh;high;3doors;4people;big;low;unacc
vhigh;high;3doors;4people;big;med;unacc
vhigh;high;3doors;4people;big;high;unacc
vhigh;high;3doors;more;small;low;unacc
vhigh;high;3doors;more;small;med;unacc
vhigh;high;3doors;more;small;high;unacc
vhigh;high;3doors;more;med;low;unacc
vhigh;high;3doors;more;med;med;unacc
vhigh;high;3doors;more;med;high;unacc
vhigh;high;3doors;more;big;low;unacc
vhigh;high;3doors;more;big;med;unacc
vhigh;high;3doors;more;big;high;unacc
vhigh;high;4doors;2people;small;low;unacc
vhigh;high;4doors;2people;small;med;unacc
vhigh;high;4doors;2people;small;high;unacc
vhigh;high;4doors;2people;med;low;unacc
vhigh;high;4doors;2people;med;med;unacc
vhigh;high;4doors;2people;med;high;unacc
vhigh;high;4doors;2people;big;low;unacc
vhigh;high;4doors;2people;big;med;unacc
vhigh;high;4doors;2people;big;high;unacc
vhigh;high;4doors;4people;small;low;unacc
vhigh;high;4doors;4people;small;med;unacc
vhigh;high;4doors;4people;small;high;unacc
vhigh;high;4doors;4people;med;low;unacc
vhigh;high;4doors;4people;med;med;unacc
vhigh;high;4doors;4people;med;high;unacc
vhigh;high;4doors;4people;big;low;unacc
vhigh;high;4doors;4people;big;med;unacc
vhigh;high;4doors;4people;big;high;unacc
vhigh;high;4doors;more;small;low;unacc
vhigh;high;4doors;more;small;med;unacc
vhigh;high;4doors;more;small;high;unacc
vhigh;high;4doors;more;med;low;unacc
vhigh;high;4doors;more;med;med;unacc
vhigh;high;4doors;more;med;high;unacc
vhigh;high;4doors;more;big;low;unacc
vhigh;high;4doors;more;big;med;unacc
vhigh;high;4doors;more;big;high;unacc
vhigh;high;5more;2people;small;low;unacc
vhigh;high;5more;2people;small;med;unacc
vhigh;high;5more;2people;small;high;unacc
vhigh;high;5more;2people;med;low;unacc
vhigh;high;5more;2people;med;med;unacc
vhigh;high;5more;2people;med;high;unacc
vhigh;high;5more;2people;big;low;unacc
vhigh;high;5more;2people;big;med;unacc
vhigh;high;5more;2people;big;high;unacc
vhigh;high;5more;4people;small;low;unacc
vhigh;high;5more;4people;small;med;unacc
vhigh;high;5more;4people;small;high;unacc
vhigh;high;5more;4people;med;low;unacc
vhigh;high;5more;4people;med;med;unacc
vhigh;high;5more;4people;med;high;unacc
vhigh;high;5more;4people;big;low;unacc
vhigh;high;5more;4people;big;med;unacc
vhigh;high;5more;4people;big;high;unacc
vhigh;high;5more;more;small;low;unacc
vhigh;high;5more;more;small;med;unacc
vhigh;high;5more;more;small;high;unacc
vhigh;high;5more;more;med;low;unacc
vhigh;high;5more;more;med;med;unacc
vhigh;high;5more;more;med;high;unacc
vhigh;high;5more;more;big;low;unacc
vhigh;high;5more;more;big;med;unacc
vhigh;high;5more;more;big;high;unacc
vhigh;med;2doors;2people;small;low;unacc
vhigh;med;2doors;2people;small;med;unacc
vhigh;med;2doors;2people;small;high;unacc
vhigh;med;2doors;2people;med;low;unacc
vhigh;med;2doors;2people;med;med;unacc
vhigh;med;2doors;2people;med;high;unacc
vhigh;med;2doors;2people;big;low;unacc
vhigh;med;2doors;2people;big;med;unacc
vhigh;med;2doors;2people;big;high;unacc
vhigh;med;2doors;4people;small;low;unacc
vhigh;med;2doors;4people;small;med;unacc
vhigh;med;2doors;4people;small;high;acc
vhigh;med;2doors;4people;med;low;unacc
vhigh;med;2doors;4people;med;med;unacc
vhigh;med;2doors;4people;med;high;acc
vhigh;med;2doors;4people;big;low;unacc
vhigh;med;2doors;4people;big;med;acc
vhigh;med;2doors;4people;big;high;acc
vhigh;med;2doors;more;small;low;unacc
vhigh;med;2doors;more;small;med;unacc
vhigh;med;2doors;more;small;high;unacc
vhigh;med;2doors;more;med;low;unacc
vhigh;med;2doors;more;med;med;unacc
vhigh;med;2doors;more;med;high;acc
vhigh;med;2doors;more;big;low;unacc
vhigh;med;2doors;more;big;med;acc
vhigh;med;2doors;more;big;high;acc
vhigh;med;2doors;more;big;med;acc
vhigh;med;2doors;more;big;high;acc
vhigh;med;3doors;2people;small;low;unacc
vhigh;med;3doors;2people;small;med;unacc
vhigh;med;3doors;2people;small;high;unacc
vhigh;med;3doors;2people;med;low;unacc
vhigh;med;3doors;2people;med;med;unacc
vhigh;med;3doors;2people;med;high;unacc
vhigh;med;3doors;2people;big;low;unacc
vhigh;med;3doors;2people;big;med;unacc
vhigh;med;3doors;2people;big;high;unacc
vhigh;med;3doors;4people;small;low;unacc
vhigh;med;3doors;4people;small;med;unacc
vhigh;med;3doors;4people;small;high;acc
vhigh;med;3doors;4people;med;low;unacc
vhigh;med;3doors;4people;med;med;unacc
vhigh;med;3doors;4people;med;high;acc
vhigh;med;3doors;4people;big;low;unacc
vhigh;med;3doors;4people;big;med;acc
vhigh;med;3doors;4people;big;high;acc
vhigh;med;3doors;more;small;low;unacc
vhigh;med;3doors;more;small;med;unacc
vhigh;med;3doors;more;small;high;acc
vhigh;med;3doors;more;med;low;unacc
vhigh;med;3doors;more;med;med;acc
vhigh;med;3doors;more;med;high;acc
vhigh;med;3doors;more;big;low;unacc
vhigh;med;3doors;more;big;med;acc
vhigh;med;3doors;more;big;high;acc
vhigh;med;4doors;2people;small;low;unacc
vhigh;med;4doors;2people;small;med;unacc
vhigh;med;4doors;2people;small;high;unacc
vhigh;med;4doors;2people;med;low;unacc
vhigh;med;4doors;2people;med;med;unacc
vhigh;med;4doors;2people;med;high;unacc
vhigh;med;4doors;2people;big;low;unacc
vhigh;med;4doors;2people;big;med;unacc
vhigh;med;4doors;2people;big;high;unacc
vhigh;med;4doors;4people;small;low;unacc
vhigh;med;4doors;4people;small;med;unacc
vhigh;med;4doors;4people;small;high;acc
vhigh;med;4doors;4people;med;low;unacc
vhigh;med;4doors;4people;med;med;acc
vhigh;med;4doors;4people;med;high;acc
vhigh;med;4doors;4people;big;low;unacc
vhigh;med;4doors;4people;big;med;acc
vhigh;med;4doors;4people;big;high;acc
vhigh;med;4doors;more;small;low;unacc
vhigh;med;4doors;more;small;med;unacc
vhigh;med;4doors;more;small;high;acc
vhigh;med;4doors;more;med;low;unacc
vhigh;med;4doors;more;med;med;acc
vhigh;med;4doors;more;med;high;acc
vhigh;med;4doors;more;big;low;unacc
vhigh;med;4doors;more;big;med;acc
vhigh;med;4doors;more;big;high;acc
vhigh;med;5more;2people;small;low;unacc
vhigh;med;5more;2people;small;med;unacc
vhigh;med;5more;2people;small;high;unacc
vhigh;med;5more;2people;med;low;unacc
vhigh;med;5more;2people;med;med;unacc
vhigh;med;5more;2people;med;high;unacc
vhigh;med;5more;2people;big;low;unacc
vhigh;med;5more;2people;big;med;unacc
vhigh;med;5more;2people;big;high;unacc
vhigh;med;5more;4people;small;low;unacc
vhigh;med;5more;4people;small;med;unacc
vhigh;med;5more;4people;small;high;acc
vhigh;med;5more;4people;med;low;unacc
vhigh;med;5more;4people;med;med;acc
vhigh;med;5more;4people;med;high;acc
vhigh;med;5more;4people;big;low;unacc
vhigh;med;5more;4people;big;med;acc
vhigh;med;5more;4people;big;high;acc
vhigh;med;5more;more;small;low;unacc
vhigh;med;5more;more;small;med;unacc
vhigh;med;5more;more;small;high;acc
vhigh;med;5more;more;med;low;unacc
vhigh;med;5more;more;med;med;acc
vhigh;med;5more;more;med;high;acc
vhigh;med;5more;more;big;low;unacc
vhigh;med;5more;more;big;med;acc
vhigh;med;5more;more;big;high;acc
vhigh;low;2doors;2people;small;low;unacc
vhigh;low;2doors;2people;small;med;unacc
vhigh;low;2doors;2people;small;high;unacc
vhigh;low;2doors;2people;med;low;unacc
vhigh;low;2doors;2people;med;med;unacc
vhigh;low;2doors;2people;med;high;unacc
vhigh;low;2doors;2people;big;low;unacc
vhigh;low;2doors;2people;big;med;unacc
vhigh;low;2doors;2people;big;high;unacc
vhigh;low;2doors;4people;small;low;unacc
vhigh;low;2doors;4people;small;med;unacc
vhigh;low;2doors;4people;small;high;acc
vhigh;low;2doors;4people;small;high;acc
vhigh;low;2doors;4people;med;low;unacc
vhigh;low;2doors;4people;med;med;unacc
vhigh;low;2doors;4people;med;high;acc
vhigh;low;2doors;4people;med;high;acc
vhigh;low;2doors;4people;big;low;unacc
vhigh;low;2doors;4people;big;med;acc
vhigh;low;2doors;4people;big;high;acc
vhigh;low;2doors;more;small;low;unacc
vhigh;low;2doors;more;small;med;unacc
vhigh;low;2doors;more;small;high;unacc
vhigh;low;2doors;more;med;low;unacc
vhigh;low;2doors;more;med;med;unacc
vhigh;low;2doors;more;med;high;acc
vhigh;low;2doors;more;big;low;unacc
vhigh;low;2doors;more;big;med;acc
vhigh;low;2doors;more;big;high;acc
vhigh;low;3doors;2people;small;low;unacc
vhigh;low;3doors;2people;small;med;unacc
vhigh;low;3doors;2people;small;high;unacc
vhigh;low;3doors;2people;med;low;unacc
vhigh;low;3doors;2people;med;med;unacc
vhigh;low;3doors;2people;med;high;unacc
vhigh;low;3doors;2people;big;low;unacc
vhigh;low;3doors;2people;big;med;unacc
vhigh;low;3doors;2people;big;high;unacc
vhigh;low;3doors;4people;small;low;unacc
vhigh;low;3doors;4people;small;med;unacc
vhigh;low;3doors;4people;small;high;acc
vhigh;low;3doors;4people;med;low;unacc
vhigh;low;3doors;4people;med;med;unacc
vhigh;low;3doors;4people;med;high;acc
vhigh;low;3doors;4people;big;low;unacc
vhigh;low;3doors;4people;big;med;acc
vhigh;low;3doors;4people;big;high;acc
vhigh;low;3doors;more;small;low;unacc
vhigh;low;3doors;more;small;med;unacc
vhigh;low;3doors;more;small;high;acc
vhigh;low;3doors;more;med;low;unacc
vhigh;low;3doors;more;med;med;acc
vhigh;low;3doors;more;med;med;acc
vhigh;low;3doors;more;med;high;acc
vhigh;low;3doors;more;big;low;unacc
vhigh;low;3doors;more;big;med;acc
vhigh;low;3doors;more;big;high;acc
vhigh;low;4doors;2people;small;low;unacc
vhigh;low;4doors;2people;small;med;unacc
vhigh;low;4doors;2people;small;high;unacc
vhigh;low;4doors;2people;med;low;unacc
vhigh;low;4doors;2people;med;med;unacc
vhigh;low;4doors;2people;med;high;unacc
vhigh;low;4doors;2people;big;low;unacc
vhigh;low;4doors;2people;big;med;unacc
vhigh;low;4doors;2people;big;high;unacc
vhigh;low;4doors;4people;small;low;unacc
vhigh;low;4doors;4people;small;med;unacc
vhigh;low;4doors;4people;small;high;acc
vhigh;low;4doors;4people;med;low;unacc
vhigh;low;4doors;4people;med;med;acc
vhigh;low;4doors;4people;med;high;acc
vhigh;low;4doors;4people;big;low;unacc
vhigh;low;4doors;4people;big;med;acc
vhigh;low;4doors;4people;big;high;acc
vhigh;low;4doors;more;small;low;unacc
vhigh;low;4doors;more;small;med;unacc
vhigh;low;4doors;more;small;high;acc
vhigh;low;4doors;more;med;low;unacc
vhigh;low;4doors;more;med;med;acc
vhigh;low;4doors;more;med;high;acc
vhigh;low;4doors;more;big;low;unacc
vhigh;low;4doors;more;big;med;acc
vhigh;low;4doors;more;big;high;acc
vhigh;low;5more;2people;small;low;unacc
vhigh;low;5more;2people;small;med;unacc
vhigh;low;5more;2people;small;high;unacc
vhigh;low;5more;2people;med;low;unacc
vhigh;low;5more;2people;med;med;unacc
vhigh;low;5more;2people;med;high;unacc
vhigh;low;5more;2people;big;low;unacc
vhigh;low;5more;2people;big;med;unacc
vhigh;low;5more;2people;big;high;unacc
vhigh;low;5more;4people;small;low;unacc
vhigh;low;5more;4people;small;med;unacc
vhigh;low;5more;4people;small;high;acc
vhigh;low;5more;4people;med;low;unacc
vhigh;low;5more;4people;med;med;acc
vhigh;low;5more;4people;med;med;acc
vhigh;low;5more;4people;med;high;acc
vhigh;low;5more;4people;big;low;unacc
vhigh;low;5more;4people;big;med;acc
vhigh;low;5more;4people;big;high;acc
vhigh;low;5more;more;small;low;unacc
vhigh;low;5more;more;small;med;unacc
vhigh;low;5more;more;small;high;acc
vhigh;low;5more;more;med;low;unacc
vhigh;low;5more;more;med;med;acc
vhigh;low;5more;more;med;high;acc
vhigh;low;5more;more;big;low;unacc
vhigh;low;5more;more;big;med;acc
vhigh;low;5more;more;big;high;acc
high;vhigh;2doors;2people;small;low;unacc
high;vhigh;2doors;2people;small;med;unacc
high;vhigh;2doors;2people;small;high;unacc
high;vhigh;2doors;2people;med;low;unacc
high;vhigh;2doors;2people;med;med;unacc
high;vhigh;2doors;2people;med;high;unacc
high;vhigh;2doors;2people;big;low;unacc
high;vhigh;2doors;2people;big;med;unacc
high;vhigh;2doors;2people;big;high;unacc
high;vhigh;2doors;4people;small;low;unacc
high;vhigh;2doors;4people;small;med;unacc
high;vhigh;2doors;4people;small;high;unacc
high;vhigh;2doors;4people;med;low;unacc
high;vhigh;2doors;4people;med;med;unacc
high;vhigh;2doors;4people;med;high;unacc
high;vhigh;2doors;4people;big;low;unacc
high;vhigh;2doors;4people;big;med;unacc
high;vhigh;2doors;4people;big;high;unacc
high;vhigh;2doors;more;small;low;unacc
high;vhigh;2doors;more;small;med;unacc
high;vhigh;2doors;more;small;high;unacc
high;vhigh;2doors;more;med;low;unacc
high;vhigh;2doors;more;med;med;unacc
high;vhigh;2doors;more;med;high;unacc
high;vhigh;2doors;more;big;low;unacc
high;vhigh;2doors;more;big;med;unacc
high;vhigh;2doors;more;big;high;unacc
high;vhigh;3doors;2people;small;low;unacc
high;vhigh;3doors;2people;small;med;unacc
high;vhigh;3doors;2people;small;high;unacc
high;vhigh;3doors;2people;med;low;unacc
high;vhigh;3doors;2people;med;med;unacc
high;vhigh;3doors;2people;med;high;unacc
high;vhigh;3doors;2people;big;low;unacc
high;vhigh;3doors;2people;big;med;unacc
high;vhigh;3doors;2people;big;high;unacc
high;vhigh;3doors;4people;small;low;unacc
high;vhigh;3doors;4people;small;med;unacc
high;vhigh;3doors;4people;small;high;unacc
high;vhigh;3doors;4people;med;low;unacc
high;vhigh;3doors;4people;med;med;unacc
high;vhigh;3doors;4people;med;high;unacc
high;vhigh;3doors;4people;big;low;unacc
high;vhigh;3doors;4people;big;med;unacc
high;vhigh;3doors;4people;big;high;unacc
high;vhigh;3doors;more;small;low;unacc
high;vhigh;3doors;more;small;med;unacc
high;vhigh;3doors;more;small;high;unacc
high;vhigh;3doors;more;med;low;unacc
high;vhigh;3doors;more;med;med;unacc
high;vhigh;3doors;more;med;high;unacc
high;vhigh;3doors;more;big;low;unacc
high;vhigh;3doors;more;big;med;unacc
high;vhigh;3doors;more;big;high;unacc
high;vhigh;4doors;2people;small;low;unacc
high;vhigh;4doors;2people;small;med;unacc
high;vhigh;4doors;2people;small;high;unacc
high;vhigh;4doors;2people;med;low;unacc
high;vhigh;4doors;2people;med;med;unacc
high;vhigh;4doors;2people;med;high;unacc
high;vhigh;4doors;2people;big;low;unacc
high;vhigh;4doors;2people;big;med;unacc
high;vhigh;4doors;2people;big;high;unacc
high;vhigh;4doors;4people;small;low;unacc
high;vhigh;4doors;4people;small;med;unacc
high;vhigh;4doors;4people;small;high;unacc
high;vhigh;4doors;4people;med;low;unacc
high;vhigh;4doors;4people;med;med;unacc
high;vhigh;4doors;4people;med;high;unacc
high;vhigh;4doors;4people;big;low;unacc
high;vhigh;4doors;4people;big;med;unacc
high;vhigh;4doors;4people;big;high;unacc
high;vhigh;4doors;more;small;low;unacc
high;vhigh;4doors;more;small;med;unacc
high;vhigh;4doors;more;small;high;unacc
high;vhigh;4doors;more;med;low;unacc
high;vhigh;4doors;more;med;med;unacc
high;vhigh;4doors;more;med;high;unacc
high;vhigh;4doors;more;big;low;unacc
high;vhigh;4doors;more;big;med;unacc
high;vhigh;4doors;more;big;high;unacc
high;vhigh;5more;2people;small;low;unacc
high;vhigh;5more;2people;small;med;unacc
high;vhigh;5more;2people;small;high;unacc
high;vhigh;5more;2people;med;low;unacc
high;vhigh;5more;2people;med;med;unacc
high;vhigh;5more;2people;med;high;unacc
high;vhigh;5more;2people;big;low;unacc
high;vhigh;5more;2people;big;med;unacc
high;vhigh;5more;2people;big;high;unacc
high;vhigh;5more;4people;small;low;unacc
high;vhigh;5more;4people;small;med;unacc
high;vhigh;5more;4people;small;high;unacc
high;vhigh;5more;4people;med;low;unacc
high;vhigh;5more;4people;med;med;unacc
high;vhigh;5more;4people;med;high;unacc
high;vhigh;5more;4people;big;low;unacc
high;vhigh;5more;4people;big;med;unacc
high;vhigh;5more;4people;big;high;unacc
high;vhigh;5more;more;small;low;unacc
high;vhigh;5more;more;small;med;unacc
high;vhigh;5more;more;small;high;unacc
high;vhigh;5more;more;med;low;unacc
high;vhigh;5more;more;med;med;unacc
high;vhigh;5more;more;med;high;unacc
high;vhigh;5more;more;big;low;unacc
high;vhigh;5more;more;big;med;unacc
high;vhigh;5more;more;big;high;unacc
high;high;2doors;2people;small;low;unacc
high;high;2doors;2people;small;med;unacc
high;high;2doors;2people;small;high;unacc
high;high;2doors;2people;med;low;unacc
high;high;2doors;2people;med;med;unacc
high;high;2doors;2people;med;high;unacc
high;high;2doors;2people;big;low;unacc
high;high;2doors;2people;big;med;unacc
high;high;2doors;2people;big;high;unacc
high;high;2doors;4people;small;low;unacc
high;high;2doors;4people;small;med;unacc
high;high;2doors;4people;small;high;acc
high;high;2doors;4people;med;low;unacc
high;high;2doors;4people;med;med;unacc
high;high;2doors;4people;med;high;acc
high;high;2doors;4people;big;low;unacc
high;high;2doors;4people;big;med;acc
high;high;2doors;4people;big;high;acc
high;high;2doors;more;small;low;unacc
high;high;2doors;more;small;med;unacc
high;high;2doors;more;small;high;unacc
high;high;2doors;more;med;low;unacc
high;high;2doors;more;med;med;unacc
high;high;2doors;more;med;high;acc
high;high;2doors;more;big;low;unacc
high;high;2doors;more;big;med;acc
high;high;2doors;more;big;high;acc
high;high;3doors;2people;small;low;unacc
high;high;3doors;2people;small;med;unacc
high;high;3doors;2people;small;high;unacc
high;high;3doors;2people;med;low;unacc
high;high;3doors;2people;med;med;unacc
high;high;3doors;2people;med;high;unacc
high;high;3doors;2people;big;low;unacc
high;high;3doors;2people;big;med;unacc
high;high;3doors;2people;big;high;unacc
high;high;3doors;4people;small;low;unacc
high;high;3doors;4people;small;med;unacc
high;high;3doors;4people;small;high;acc
high;high;3doors;4people;med;low;unacc
high;high;3doors;4people;med;med;unacc
high;high;3doors;4people;med;high;acc
high;high;3doors;4people;big;low;unacc
high;high;3doors;4people;big;med;acc
high;high;3doors;4people;big;high;acc
high;high;3doors;more;small;low;unacc
high;high;3doors;more;small;med;unacc
high;high;3doors;more;small;high;acc
high;high;3doors;more;med;low;unacc
high;high;3doors;more;med;med;acc
high;high;3doors;more;med;high;acc
high;high;3doors;more;big;low;unacc
high;high;3doors;more;big;med;acc
high;high;3doors;more;big;high;acc
high;high;4doors;2people;small;low;unacc
high;high;4doors;2people;small;med;unacc
high;high;4doors;2people;small;high;unacc
high;high;4doors;2people;med;low;unacc
high;high;4doors;2people;med;med;unacc
high;high;4doors;2people;med;high;unacc
high;high;4doors;2people;big;low;unacc
high;high;4doors;2people;big;med;unacc
high;high;4doors;2people;big;high;unacc
high;high;4doors;4people;small;low;unacc
high;high;4doors;4people;small;med;unacc
high;high;4doors;4people;small;high;acc
high;high;4doors;4people;med;low;unacc
high;high;4doors;4people;med;med;acc
high;high;4doors;4people;med;high;acc
high;high;4doors;4people;big;low;unacc
high;high;4doors;4people;big;med;acc
high;high;4doors;4people;big;high;acc
high;high;4doors;more;small;low;unacc
high;high;4doors;more;small;med;unacc
high;high;4doors;more;small;high;acc
high;high;4doors;more;med;low;unacc
high;high;4doors;more;med;med;acc
high;high;4doors;more;med;high;acc
high;high;4doors;more;big;low;unacc
high;high;4doors;more;big;med;acc
high;high;4doors;more;big;high;acc
high;high;5more;2people;small;low;unacc
high;high;5more;2people;small;med;unacc
high;high;5more;2people;small;high;unacc
high;high;5more;2people;med;low;unacc
high;high;5more;2people;med;med;unacc
high;high;5more;2people;med;high;unacc
high;high;5more;2people;big;low;unacc
high;high;5more;2people;big;med;unacc
high;high;5more;2people;big;high;unacc
high;high;5more;4people;small;low;unacc
high;high;5more;4people;small;med;unacc
high;high;5more;4people;small;high;acc
high;high;5more;4people;med;low;unacc
high;high;5more;4people;med;med;acc
high;high;5more;4people;med;high;acc
high;high;5more;4people;big;low;unacc
high;high;5more;4people;big;med;acc
high;high;5more;4people;big;high;acc
high;high;5more;more;small;low;unacc
high;high;5more;more;small;med;unacc
high;high;5more;more;small;high;acc
high;high;5more;more;med;low;unacc
